Rank,#,Title,Topics,"Rank, ",Difficulty,Time & Space,Status,Next,,,,
768,281,Zigzag Iterator,,,Medium,,,,,,,
769,823,Binary Trees With Factors,,,Medium,,,,,,,
770,1170,Compare Strings by Frequency of the Smallest Character,,,Easy,,,,,,,
771,1119,Remove Vowels from a String,,,Easy,,,,,,,
772,361,Bomb Enemy,,,Medium,,,,,,,
773,216,Combination Sum III,,,Medium,,,,,,,
774,500,Keyboard Row,,,Easy,,,,,,,
775,1536,Minimum Swaps to Arrange a Binary Grid,,,Medium,,,,,,,
776,1291,Sequential Digits,,,Medium,,,,,,,
777,884,Uncommon Words from Two Sentences,,,Easy,,,,,,,
778,1530,Number of Good Leaf Nodes Pairs,,,Medium,,,,,,,
779,1588,Sum of All Odd Length Subarrays,,,Easy,,,,,,,
780,504,Base 7,,,Easy,,,,,,,
781,418,Sentence Screen Fitting,"Dynamic Programming, ","G67, ",Medium,,,,,,,
782,367,Valid Perfect Square,,,Easy,,,,,,,
783,1079,Letter Tile Possibilities,,,Medium,,,,,,,
784,1628,Design an Expression Tree With Evaluate Function,,,Medium,,,,,,,
785,821,Shortest Distance to a Character,,,Easy,,,,,,,
786,832,Flipping an Image,,,Easy,,,,,,,
787,556,Next Greater Element III,,,Medium,,,,,,,
788,877,Stone Game,,,Medium,,,,,,,
789,1214,Two Sum BSTs,,,Medium,,,,,,,
790,1385,Find the Distance Value Between Two Arrays,,,Easy,,,,,,,
791,1319,Number of Operations to Make Network Connected,,,Medium,,,,,,,
792,144,Binary Tree Preorder Traversal,,,Medium,,,,,,,
793,989,Add to Array-Form of Integer,,,Easy,,,,,,,
794,501,Find Mode in Binary Search Tree,,,Easy,,,,,,,
795,820,Short Encoding of Words,,,Medium,,,,,,,
796,712,Minimum ASCII Delete Sum for Two Strings,,,Medium,,,,,,,
797,1062,Longest Repeating Substring,,,Medium,,,,,,,
798,447,Number of Boomerangs,,,Medium,,,,,,,
799,1355,Activity Participants,,,Medium,,,,,,,
800,1642,Furthest Building You Can Reach,"Binary Search, Heap, ","G62, ",Medium,,,,,,,
801,1634,Add Two Polynomials Represented as Linked Lists,,,Medium,,,,,,,
802,651,4 Keys Keyboard,,,Medium,,,,,,,
803,947,Most Stones Removed with Same Row or Column,,,Medium,,,,,,,
804,197,Rising Temperature,,,Easy,,,,,,,
805,1282,Group the People Given the Group Size They Belong To,,,Medium,,,,,,,
806,1552,Magnetic Force Between Two Balls,,,Medium,,,,,,,
807,1486,XOR Operation in an Array,,,Easy,,,,,,,
808,967,Numbers With Same Consecutive Differences,,,Medium,,,,,,,
809,597,Friend Requests I: Overall Acceptance Rate,,,Easy,,,,,,,
810,342,Power of Four,,,Easy,,,,,,,
811,1454,Active Users,,,Medium,,,,,,,
812,1629,Slowest Key,,,Easy,,,,,,,
813,1173,Immediate Food Delivery I,,,Easy,,,,,,,
814,655,Print Binary Tree,,,Medium,,,,,,,
815,1281,Subtract the Product and Sum of Digits of an Integer,,,Easy,,,,,,,
816,1300,Sum of Mutated Array Closest to Target,,,Medium,,,,,,,
817,641,Design Circular Deque,,,Medium,,,,,,,
818,183,Customers Who Never Order,,,Easy,,,,,,,
819,1123,Lowest Common Ancestor of Deepest Leaves,,,Medium,,,,,,,
820,27,Remove Element,,,Easy,,,,,,,
821,991,Broken Calculator,,,Medium,,,,,,,
822,1427,Perform String Shifts,,,Easy,,,,,,,
823,1389,Create Target Array in the Given Order,,,Easy,,,,,,,
824,1212,Team Scores in Football Tournament,,,Medium,,,,,,,
825,455,Assign Cookies,,,Easy,,,,,,,
826,915,Partition Array into Disjoint Intervals,,,Medium,,,,,,,
827,1271,Hexspeak,,,Easy,,,,,,,
828,461,Hamming Distance,,,Easy,,,,,,,
829,320,Generalized Abbreviation,,,Medium,,,,,,,
830,454,4Sum II,,,Medium,,,,,,,
831,1058,Minimize Rounding Error to Meet Target,"Math, Dynamic Programming, Greedy, ","MIC10, ",Medium,,,,,,,
832,1128,Number of Equivalent Domino Pairs,,,Easy,,,,,,,
833,643,Maximum Average Subarray I,,,Easy,,,,,,,
834,408,Valid Word Abbreviation,,,Easy,,,,,,,
835,781,Rabbits in Forest,,,Medium,,,,,,,
836,559,Maximum Depth of N-ary Tree,,,Easy,,,,,,,
837,271,Encode and Decode Strings,,,Medium,,,,,,,
838,1005,Maximize Sum Of Array After K Negations,,,Easy,,,,,,,
839,497,Random Point in Non-overlapping Rectangles,,,Medium,,,,,,,
840,491,Increasing Subsequences,,,Medium,,,,,,,
841,522,Longest Uncommon Subsequence II,,,Medium,,,,,,,
842,610,Triangle Judgement,,,Easy,,,,,,,
843,948,Bag of Tokens,,,Medium,,,,,,,
844,1265,Print Immutable Linked List in Reverse,,,Medium,,,,,,,
845,806,Number of Lines To Write String,,,Easy,,,,,,,
846,1218,Longest Arithmetic Subsequence of Given Difference,"Math, Dynamic Programming, ","G44, ",Medium,,,,,,,
847,1554,Strings Differ by One Character,,,Medium,,,,,,,
848,372,Super Pow,,,Medium,,,,,,,
849,565,Array Nesting,,,Medium,,,,,,,
850,926,Flip String to Monotone Increasing,,,Medium,,,,,,,
851,1576,Replace All ?'s to Avoid Consecutive Repeating Characters,"String, ","MIC12, ",Easy,,,,,,,
852,788,Rotated Digits,,,Easy,,,,,,,
853,1594,Maximum Non Negative Product in a Matrix,,,Medium,,,,,,,
854,1650,Lowest Common Ancestor of a Binary Tree III,,,Medium,,,,,,,
855,1436,Destination City,,,Easy,,,,,,,
856,1204,Last Person to Fit in the Elevator,,,Medium,,,,,,,
857,1418,Display Table of Food Orders in a Restaurant,,,Medium,,,,,,,
858,1451,Rearrange Words in a Sentence,,,Medium,,,,,,,
859,1525,Number of Good Ways to Split a String,,,Medium,,,,,,,
860,1154,Day of the Year,,,Easy,,,,,,,
861,563,Binary Tree Tilt,,,Easy,,,,,,,
862,700,Search in a Binary Search Tree,"Tree, ","APP110, ",Easy,,,,,,,
863,696,Count Binary Substrings,,,Easy,,,,,,,
864,1132,Reported Posts II,,,Medium,,,,,,,
865,816,Ambiguous Coordinates,,,Medium,,,,,,,
866,893,Groups of Special-Equivalent Strings,,,Easy,,,,,,,
867,1122,Relative Sort Array,,,Easy,,,,,,,
868,702,Search in a Sorted Array of Unknown Size,,,Medium,,,,,,,
869,633,Sum of Square Numbers,"Math, ","APP35, ",Medium,,,,,,,
870,737,Sentence Similarity II,,"AMZ72, ",Medium,,,,,,,
871,1226,The Dining Philosophers,,,Medium,,,,,,,
872,888,Fair Candy Swap,,,Easy,,,,,,,
873,1589,Maximum Sum Obtained of Any Permutation,,,Medium,,,,,,,
874,1175,Prime Arrangements,,,Easy,,,,,,,
875,999,Available Captures for Rook,,,Easy,,,,,,,
876,978,Longest Turbulent Subarray,,,Medium,,,,,,,
877,962,Maximum Width Ramp,,,Medium,,,,,,,
878,638,Shopping Offers,"Dynamic Programming, ","G69, ",Medium,,,,,,,
879,375,Guess Number Higher or Lower II,,,Medium,,,,,,,
880,1116,Print Zero Even Odd,,,Medium,,,,,,,
881,1404,Number of Steps to Reduce a Number in Binary Representation to One,,,Medium,,,,,,,
882,1541,Minimum Insertions to Balance a Parentheses String,,,Medium,,,,,,,
883,1528,Shuffle String,,,Easy,,,,,,,
884,1237,Find Positive Integer Solution for a Given Equation,"Math, Binary Search, ","G72, ",Easy,,,,,,,
885,1572,Matrix Diagonal Sum,,,Easy,,,,,,,
886,822,Card Flipping Game,,,Medium,,,,,,,
887,965,Univalued Binary Tree,,,Easy,,,,,,,
888,1446,Consecutive Characters,"String, ","MIC126, ",Easy,,,,,,,
889,288,Unique Word Abbreviation,,,Medium,,,,,,,
890,802,Find Eventual Safe States,,,Medium,,,,,,,
891,1276,Number of Burgers with No Waste of Ingredients,,,Medium,,,,,,,
892,1374,Generate a String With Characters That Have Odd Counts,,,Easy,,,,,,,
893,1493,Longest Subarray of 1's After Deleting One Element,,,Medium,,,,,,,
894,1061,Lexicographically Smallest Equivalent String,,,Medium,,,,,,,
895,1414,Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,,,Medium,,,,,,,
896,961,N-Repeated Element in Size 2N Array,,,Easy,,,,,,,
897,1441,Build an Array With Stack Operations,,,Easy,,,,,,,
898,548,Split Array with Equal Sum,,,Medium,,,,,,,
899,508,Most Frequent Subtree Sum,,,Medium,,,,,,,
900,605,Can Place Flowers,,,Easy,,,,,,,
901,1435,Create a Session Bar Chart,,,Easy,,,,,,,
902,474,Ones and Zeroes,,,Medium,,,,,,,
903,1430,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,,,Medium,,,,,,,
904,1586,Binary Search Tree Iterator II,,,Medium,,,,,,,
905,1367,Linked List in Binary Tree,,,Medium,,,,,,,
906,1648,Sell Diminishing-Valued Colored Balls,,,Medium,,,,,,,
907,1129,Shortest Path with Alternating Colors,,,Medium,,,,,,,
908,1556,Thousand Separator,,,Easy,,,,,,,
909,1207,Unique Number of Occurrences,,,Easy,,,,,,,
910,1487,Making File Names Unique,,,Medium,,,,,,,
911,830,Positions of Large Groups,"Array, ","G77, ",Easy,,,,,,,
912,549,Binary Tree Longest Consecutive Sequence II,,,Medium,,,,,,,
913,1084,Sales Analysis III,,,Easy,,,,,,,
914,492,Construct the Rectangle,,,Easy,,,,,,,
915,156,Binary Tree Upside Down,,,Medium,,,,,,,
916,859,Buddy Strings,,,Easy,,,,,,,
917,1561,Maximum Number of Coins You Can Get,,,Medium,,,,,,,
918,190,Reverse Bits,,,Easy,,,,,,,
919,1174,Immediate Food Delivery II,,,Medium,,,,,,,
920,405,Convert a Number to Hexadecimal,,,Easy,,,,,,,
921,812,Largest Triangle Area,,,Easy,,,,,,,
922,429,N-ary Tree Level Order Traversal,,,Medium,,,,,,,
923,1603,Design Parking System,,,Easy,,,,,,,
924,1564,Put Boxes Into the Warehouse I,,,Medium,,,,,,,
925,1361,Validate Binary Tree Nodes,,,Medium,,,,,,,
926,1287,Element Appearing More Than 25% In Sorted Array,,,Easy,,,,,,,
927,313,Super Ugly Number,,,Medium,,,,,,,
928,1089,Duplicate Zeros,,,Easy,,,,,,,
929,1016,Binary String With Substrings Representing 1 To N,,,Medium,,,,,,,
930,984,String Without AAA or BBB,,,Medium,,,,,,,
931,1605,Find Valid Matrix Given Row and Column Sums,,,Medium,,,,,,,
932,1596,The Most Frequently Ordered Products for Each Customer,,,Medium,,,,,,,
933,566,Reshape the Matrix,,,Easy,,,,,,,
934,1318,Minimum Flips to Make a OR b Equal to c,,,Medium,,,,,,,
935,1598,Crawler Log Folder,,,Easy,,,,,,,
936,1101,The Earliest Moment When Everyone Become Friends,"Union Find, ","G55, ",Medium,,,,,,,
937,374,Guess Number Higher or Lower,,,Easy,,,,,,,
938,1592,Rearrange Spaces Between Words,"String, ","G66, ",Easy,,,,,,,
939,851,Loud and Rich,,,Medium,,,,,,,
940,1654,Minimum Jumps to Reach Home,,,Medium,,,,,,,
941,182,Duplicate Emails,,,Easy,,,,,,,
942,575,Distribute Candies,,,Easy,,,,,,,
943,709,To Lower Case,,,Easy,,,,,,,
944,477,Total Hamming Distance,,,Medium,,,,,,,
945,1323,Maximum 69 Number,,,Easy,,,,,,,
946,1217,Minimum Cost to Move Chips to The Same Position,,,Easy,,,,,,,
947,758,Bold Words in String,,,Easy,,,,,,,
948,1518,Water Bottles,,,Easy,,,,,,,
949,1587,Bank Account Summary II,,,Easy,,,,,,,
950,1072,Flip Columns For Maximum Number of Equal Rows,,,Medium,,,,,,,
951,1295,Find Numbers with Even Number of Digits,,,Easy,,,,,,,
952,590,N-ary Tree Postorder Traversal,,,Easy,,,,,,,
953,1464,Maximum Product of Two Elements in an Array,,,Easy,,,,,,,
954,624,Maximum Distance in Arrays,,,Medium,,,,,,,
955,476,Number Complement,,,Easy,,,,,,,
956,1087,Brace Expansion,,,Medium,,,,,,,
957,1496,Path Crossing,,,Easy,,,,,,,
958,1508,Range Sum of Sorted Subarray Sums,,,Medium,,,,,,,
959,1394,Find Lucky Integer in an Array,,,Easy,,,,,,,
960,512,Game Play Analysis II,,,Easy,,,,,,,
961,1311,Get Watched Videos by Your Friends,,,Medium,,,,,,,
962,1666,Change the Root of a Binary Tree,,,Medium,,,,,,,
963,326,Power of Three,,,Easy,,,,,,,
964,614,Second Degree Follower,,,Medium,,,,,,,
965,860,Lemonade Change,,,Easy,,,,,,,
966,1387,Sort Integers by The Power Value,,,Medium,,,,,,,
967,1306,Jump Game III,,,Medium,,,,,,,
968,804,Unique Morse Code Words,,,Easy,,,,,,,
969,589,N-ary Tree Preorder Traversal,,,Easy,,,,,,,
970,1636,Sort Array by Increasing Frequency,,,Easy,,,,,,,
971,1503,Last Moment Before All Ants Fall Out of a Plank,,,Medium,,,,,,,
972,537,Complex Number Multiplication,,,Medium,,,,,,,
973,1379,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,,,Medium,,,,,,,
974,538,Convert BST to Greater Tree,,,Medium,,,,,,,
975,1141,User Activity for the Past 30 Days I,,,Easy,,,,,,,
976,756,Pyramid Transition Matrix,,,Medium,,,,,,,
977,1506,Find Root of N-Ary Tree,,,Medium,,,,,,,
978,835,Image Overlap,,,Medium,,,,,,,
979,1653,Minimum Deletions to Make String Balanced,,,Medium,,,,,,,
980,648,Replace Words,,,Medium,,,,,,,
981,1460,Make Two Arrays Equal by Reversing Sub-arrays,,,Easy,,,,,,,
982,1476,Subrectangle Queries,,,Medium,,,,,,,
983,1577,Number of Ways Where Square of Number Is Equal to Product of Two Numbers,,,Medium,,,,,,,
984,550,Game Play Analysis IV,,,Medium,,,,,,,
985,985,Sum of Even Numbers After Queries,,,Easy,,,,,,,
986,1343,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,,,Medium,,,,,,,
987,1562,Find Latest Group of Size M,,,Medium,,,,,,,
988,599,Minimum Index Sum of Two Lists,,,Easy,,,,,,,
989,396,Rotate Function,"Math, ","APP12, ",Medium,,,,,,,
990,1475,Final Prices With a Special Discount in a Shop,,,Easy,,,,,,,
991,243,Shortest Word Distance,,,Easy,,,,,,,
992,473,Matchsticks to Square,,,Medium,,,,,,,
993,1341,Movie Rating,,,Medium,,,,,,,
994,604,Design Compressed String Iterator,,,Easy,,,,,,,
995,1584,Min Cost to Connect All Points,,,Medium,,,,,,,
996,1053,Previous Permutation With One Swap,,,Medium,,,,,,,
997,495,Teemo Attacking,,,Medium,,,,,,,
998,194,Transpose File,,,Medium,,,,,,,
999,1513,Number of Substrings With Only 1s,,,Medium,,,,,,,
1000,1490,Clone N-ary Tree,,,Medium,,,,,,,
1001,914,X of a Kind in a Deck of Cards,,,Easy,,,,,,,
1002,583,Delete Operation for Two Strings,,,Medium,,,,,,,
1003,1408,String Matching in an Array,,,Easy,,,,,,,
1004,1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,,,Medium,,,,,,,
1005,1100,Find K-Length Substrings With No Repeated Characters,"String, Sliding Window, ","AMZ84, ",Medium,,,,,,,
1006,963,Minimum Area Rectangle II,"Math, Geometry, ","G36, ",Medium,,,,,,,
1007,872,Leaf-Similar Trees,,,Easy,,,,,,,
1008,576,Out of Boundary Paths,,,Medium,,,,,,,
1009,1626,Best Team With No Conflicts,,,Medium,,,,,,,
1010,1164,Product Price at a Given Date,,,Medium,,,,,,,
1011,1321,Restaurant Growth,,,Medium,,,,,,,
1012,929,Unique Email Addresses,,,Easy,,,,,,,
1013,925,Long Pressed Name,,,Easy,,,,,,,
1014,1098,Unpopular Books,,,Medium,,,,,,,
1015,783,Minimum Distance Between BST Nodes,,,Easy,,,,,,,
1016,1305,All Elements in Two Binary Search Trees,,,Medium,,,,,,,
1017,1641,Count Sorted Vowel Strings,,,Medium,,,,,,,
1018,1109,Corporate Flight Bookings,,,Medium,,,,,,,
1019,245,Shortest Word Distance III,,,Medium,,,,,,,
1020,1409,Queries on a Permutation With Key,,,Medium,,,,,,,
1021,620,Not Boring Movies,,,Easy,,,,,,,
1022,1545,Find Kth Bit in Nth Binary String,,,Medium,,,,,,,
1023,990,Satisfiability of Equality Equations,,,Medium,,,,,,,
1024,1540,Can Convert String in K Moves,,,Medium,,,,,,,
1025,1055,Shortest Way to Form String,,,Medium,,,,,,,
1026,1325,Delete Leaves With a Given Value,,,Medium,,,,,,,
1027,1488,Avoid Flood in The City,,,Medium,,,,,,,
1028,434,Number of Segments in a String,,,Easy,,,,,,,
1029,649,Dota2 Senate,,,Medium,,,,,,,
1030,1198,Find Smallest Common Element in All Rows,,,Medium,,,,,,,
1031,1450,Number of Students Doing Homework at a Given Time,,,Easy,,,,,,,
1032,1625,Lexicographically Smallest String After Applying Operations,,,Medium,,,,,,,
1033,645,Set Mismatch,,,Easy,,,,,,,
1034,966,Vowel Spellchecker,,,Medium,,,,,,,
1035,1557,Minimum Number of Vertices to Reach All Nodes,,,Medium,,,,,,,
1036,1390,Four Divisors,,,Medium,,,,,,,
1037,930,Binary Subarrays With Sum,,,Medium,,,,,,,
1038,1350,Students With Invalid Departments,,,Easy,,,,,,,
1039,1099,Two Sum Less Than K,,,Easy,,,,,,,
1040,1567,Maximum Length of Subarray With Positive Product,,,Medium,,,,,,,
1041,1535,Find the Winner of an Array Game,,,Medium,,,,,,,
1042,941,Valid Mountain Array,,,Easy,,,,,,,
1043,1045,Customers Who Bought All Products,,,Medium,,,,,,,
1044,1039,Minimum Score Triangulation of Polygon,,,Medium,,,,,,,
1045,513,Find Bottom Left Tree Value,,,Medium,,,,,,,
1046,1251,Average Selling Price,,,Easy,,,,,,,
1047,584,Find Customer Referee,,,Easy,,,,,,,
1048,1083,Sales Analysis II,,,Easy,,,,,,,
1049,826,Most Profit Assigning Work,,,Medium,,,,,,,
1050,1208,Get Equal Substrings Within Budget,,,Medium,,,,,,,
1051,534,Game Play Analysis III,,,Medium,,,,,,,
1052,1150,Check If a Number Is Majority Element in a Sorted Array,,,Easy,,,,,,,
1053,1442,Count Triplets That Can Form Two Arrays of Equal XOR,,,Medium,,,,,,,
1054,923,3Sum With Multiplicity,,,Medium,,,,,,,
1055,1415,The k-th Lexicographical String of All Happy Strings of Length n,,,Medium,,,,,,,
1056,1640,Check Array Formation Through Concatenation,,,Easy,,,,,,,
1057,1443,Minimum Time to Collect All Apples in a Tree,,,Medium,,,,,,,
1058,612,Shortest Distance in a Plane,,,Medium,,,,,,,
1059,1471,The k Strongest Values in an Array,,,Medium,,,,,,,
1060,1669,Merge In Between Linked Lists,,,Medium,,,,,,,
1061,1524,Number of Sub-arrays With Odd Sum,,,Medium,,,,,,,
1062,954,Array of Doubled Pairs,,,Medium,,,,,,,
1063,1644,Lowest Common Ancestor of a Binary Tree II,,,Medium,,,,,,,
1064,170,Two Sum III - Data structure design,,,Easy,,,,,,,
1065,586,Customer Placing the Largest Number of Orders,,,Easy,,,,,,,
1066,1614,Maximum Nesting Depth of the Parentheses,,,Easy,,,,,,,
1067,942,DI String Match,,,Easy,,,,,,,
1068,1068,Product Sales Analysis I,,,Easy,,,,,,,
1069,80,Remove Duplicates from Sorted Array II,,,Medium,,,,,,,
1070,1555,Bank Account Summary,,,Medium,,,,,,,
1071,1337,The K Weakest Rows in a Matrix,,,Easy,,,,,,,
1072,748,Shortest Completing Word,,,Easy,,,,,,,
1073,1638,Count Substrings That Differ by One Character,,,Medium,,,,,,,
1074,1543,Fix Product Name Format,,,Easy,,,,,,,
1075,1201,Ugly Number III,,,Medium,,,,,,,
1076,1227,Airplane Seat Assignment Probability,,,Medium,,,,,,,
1077,382,Linked List Random Node,,,Medium,,,,,,,
1078,1664,Ways to Make a Fair Array,,,Medium,,,,,,,
1079,595,Big Countries,,,Easy,,,,,,,
1080,734,Sentence Similarity,,,Easy,,,,,,,
1081,585,Investments in 2016,,,Medium,,,,,,,
1082,970,Powerful Integers,,,Easy,,,,,,,
1083,1380,Lucky Numbers in a Matrix,,,Easy,,,,,,,
1084,1544,Make The String Great,,,Easy,,,,,,,
1085,506,Relative Ranks,,,Easy,,,,,,,
1086,1193,Monthly Transactions I,,,Medium,,,,,,,
1087,1332,Remove Palindromic Subsequences,,,Easy,,,,,,,
1088,1003,Check If Word Is Valid After Substitutions,,,Medium,,,,,,,
1089,1437,Check If All 1's Are at Least Length K Places Away,,,Medium,,,,,,,
1090,1107,New Users Daily Count,,,Medium,,,,,,,
1091,1020,Number of Enclaves,,,Medium,,,,,,,
1092,1672,Richest Customer Wealth,,,Easy,,,,,,,
1093,1126,Active Businesses,,,Medium,,,,,,,
1094,1593,Split a String Into the Max Number of Unique Substrings,,,Medium,,,,,,,
1095,1317,Convert Integer to the Sum of Two No-Zero Integers,,,Easy,,,,,,,
1096,944,Delete Columns to Make Sorted,,,Easy,,,,,,,
1097,1637,Widest Vertical Area Between Two Points Containing No Points,,,Medium,,,,,,,
1098,1309,Decrypt String from Alphabet to Integer Mapping,,,Easy,,,,,,,
1099,254,Factor Combinations,,,Medium,,,,,,,
1100,1457,Pseudo-Palindromic Paths in a Binary Tree,,,Medium,,,,,,,
1101,1280,Students and Examinations,,,Easy,,,,,,,
1102,1550,Three Consecutive Odds,,,Easy,,,,,,,
1103,897,Increasing Order Search Tree,,,Easy,,,,,,,
1104,760,Find Anagram Mappings,,,Easy,,,,,,,
1105,1393,Capital Gain/Loss,,,Medium,,,,,,,
1106,677,Map Sum Pairs,,,Medium,,,,,,,
1107,1616,Split Two Strings to Make Palindrome,"Two Pointers, String, Greedy, ","G85, ",Medium,,,,,,,
1108,1112,Highest Grade For Each Student,,,Medium,,,,,,,
1109,318,Maximum Product of Word Lengths,,,Medium,,,,,,,
1110,530,Minimum Absolute Difference in BST,,,Easy,,,,,,,
1111,1491,Average Salary Excluding the Minimum and Maximum Salary,,,Easy,,,,,,,
1112,275,H-Index II,,,Medium,,,,,,,
1113,602,Friend Requests II: Who Has the Most Friends,,,Medium,,,,,,,
1114,1398,Customers Who Bought Products A and B but Not C,,,Medium,,,,,,,
1115,1327,List the Products Ordered in a Period,,,Easy,,,,,,,
1116,574,Winning Candidate,,,Medium,,,,,,,
1117,725,Split Linked List in Parts,,,Medium,,,,,,,
1118,728,Self Dividing Numbers,,,Easy,,,,,,,
1119,613,Shortest Distance in a Line,,,Easy,,,,,,,
1120,603,Consecutive Available Seats,,,Easy,,,,,,,
1121,976,Largest Perimeter Triangle,,,Easy,,,,,,,
1122,1609,Even Odd Tree,,,Medium,,,,,,,
1123,1582,Special Positions in a Binary Matrix,,,Easy,,,,,,,
1124,1656,Design an Ordered Stream,,,Easy,,,,,,,
1125,1523,Count Odd Numbers in an Interval Range,,,Easy,,,,,,,
1126,570,Managers with at Least 5 Direct Reports,,,Medium,,,,,,,
1127,910,Smallest Range II,,,Medium,,,,,,,
1128,1185,Day of the Week,,,Easy,,,,,,,
1129,1571,Warehouse Manager,,,Easy,,,,,,,
1130,1346,Check If N and Its Double Exist,,,Easy,,,,,,,
1131,1657,Determine if Two Strings Are Close,,,Medium,,,,,,,
1132,596,Classes More Than 5 Students,,,Easy,,,,,,,
1133,1303,Find the Team Size,,,Easy,,,,,,,
1134,487,Max Consecutive Ones II,,,Medium,,,,,,,
1135,520,Detect Capital,,,Easy,,,,,,,
1136,865,Smallest Subtree with all the Deepest Nodes,,,Medium,,,,,,,
1137,1662,Check If Two String Arrays are Equivalent,,,Easy,,,,,,,
1138,1658,Minimum Operations to Reduce X to Zero,,,Medium,,,,,,,
1139,744,Find Smallest Letter Greater Than Target,,,Easy,,,,,,,
1140,1492,The kth Factor of n,,,Medium,,,,,,,
1141,369,Plus One Linked List,,,Medium,,,,,,,
